,topic,quesiton
153,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A manufacturing company wants to minimize the total cost of producing 100,000 units of a product. The average cost function is given by C(x) = 0.01x^2 + 1.2x + 1000, where x represents the number of units produced. What is the minimum cost and how many units should be produced to achieve it?"
154,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A boat starts at point A and travels along the function f(x) = x^2 + 2x - 8, where x represents distance traveled in miles. At what point should the boat turn to minimize the total distance traveled in order to reach a point B?"
155,Generate me a calculus question on Analytical_Applications_of_Differentiation,"An oil refinery produces gasoline and diesel fuel at rates of 50 gallons per minute and 30 gallons per minute, respectively. If both products are increasing at a rate of 3 gallons per minute, how long will it take for the proportion of gasoline to diesel to equal 3:2?"
156,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A bungee cord with a length of 100 feet is attached to a bridge and a weight at the other end. If the weight is dropped from a height of 20 feet above the bridge and the cord has a spring constant of 10 pounds per foot, what is the final velocity when the weight is 10 feet away from the bridge?"
157,Generate me a calculus question on Analytical_Applications_of_Differentiation,A ladder 10 meters long rests against a vertical wall with the bottom of the ladder 6 meters from the base of the wall. If the bottom of the
158,Generate me a calculus question on Analytical_Applications_of_Differentiation,What is the rate of change of the volume of a spherical balloon with respect to its radius when the radius is growing at a rate of 2 centimeters per second?
159,Generate me a calculus question on Analytical_Applications_of_Differentiation,"An airplane is flying at a constant altitude of 10,000 feet. The angle of depression from the airplane to a target on the ground is changing at a rate of 1 degree per minute. Find the linear velocity of the airplane at this moment."
160,Generate me a calculus question on Analytical_Applications_of_Differentiation,A farmer wants to maximize the area of a rectangular field with 1000 feet of fencing. What are the dimensions of the field that result in the maximum area?
161,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall with its base on horizontal ground, forming a right angle. If the ladder is sliding down the wall at a rate of 2 feet per second, how quickly is the top of the ladder moving away from the ground when it reaches a height of 10 feet?"
162,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The surface area of a pyramid is increasing at a rate of 5 square meters per second. If the base length is 10 meters and the height is 3 meters, what is the rate of change of the volume of the pyramid?"
163,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A balloon in the shape of a cone is being inflated with gas at a rate of 5 cubic feet per minute. If the base radius is 3 feet and the height is increasing at a rate of 2 feet per minute, what is the rate of change of the balloon's surface area at the moment when the volume is 150 cubic feet?"
164,Generate me a calculus question on Analytical_Applications_of_Differentiation,A cylindrical tank with a height of 10 meters is being filled with water at a rate of 2 cubic meters per minute. At what rate is the water level rising when the volume of water in the tank is 500 cubic meters?
165,Generate me a calculus question on Analytical_Applications_of_Differentiation,A particle moves along the curve y = x^2 + 1 with a velocity of v = 3t - 2 at any time t. Find the acceleration of the particle at t = 2.
166,Generate me a calculus question on Analytical_Applications_of_Differentiation,A company is producing cylindrical cans with a volume of 50 cubic inches. The cost of materials for the top and bottom of the can is $0.02 per square inch and the cost of the side material is $0.01 per square inch. Find the dimensions of the can that minimizes the cost of materials.
167,Generate me a calculus question on Analytical_Applications_of_Differentiation,A car is traveling on a straight road and its distance from a fixed point is given by s = t^2 - 4
168,Generate me a calculus question on Analytical_Applications_of_Differentiation,A storage tank has a capacity of 1000 gallons and is being filled at a rate of 10 gallons per minute. How long will it take to fill the tank?
169,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A company manufactures toys at a cost of $20 per unit and sells them for $30 per unit. If the company's fixed costs are $5000, how many units must be produced and sold to break even?"
170,Generate me a calculus question on Analytical_Applications_of_Differentiation,A spherical balloon is being inflated at a rate of 5 cubic feet per minute. At what rate is the surface area of the balloon increasing when the radius is 3 feet?
171,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular garden is to be fenced in with 100 feet of fencing. Determine the dimensions of the garden that has the largest possible area.
